typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,pv_used_kw,pv_curtail_kw,wind_used_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_SUMMER,18,120,10120.0,4200.0,50.0,58.9245040492151,-0.0,0.0,10952.827039855432,0.0,1400.0,4200.0,0.0,-0.0,0.0,508.2484560953535,0.0,0.0,-0.0,0.0,50.0,24.98192074135288,0.0,-0.0,-0.0,38.17718617348647
TD_SUMMER,19,120,9430.0,4320.0,35.0,0.0,-0.0,0.0,11390.94012144965,0.0,1440.0,4320.0,0.0,-0.0,-0.0,0.0,0.0,520.9401214496502,10.01807925864712,0.0,24.98192074135288,0.0,0.0,-0.0,0.0,-0.0
TD_SUMMER,20,120,8510.0,4200.0,25.0,0.0,-0.0,0.0,12048.109743840976,0.0,1400.0,4200.0,0.0,-0.0,0.0,0.0,-0.0,2138.109743840976,41.11749507386492,16.117495073864923,0.0,16.117495073864923,0.0,-0.0,0.0,-0.0
TD_SUMMER,21,120,7474.999999999999,4080.0,20.0,0.0,-0.0,0.0,11829.053203043868,0.0,1360.0,4080.0,0.0,-0.0,90.09827061617216,0.0,85.59335708536355,2903.954932427696,55.84528716207108,35.84528716207108,0.0,51.962782235936,0.0,-0.0,0.0,-0.0
TD_SUMMER,22,120,6669.999999999999,3900.0,15.0,0.0,-0.0,0.0,10952.827039855432,0.0,1300.0,3900.0,0.0,-0.0,78.87210742773732,0.0,160.521859141714,2903.954932427696,55.84528716207108,40.84528716207108,0.0,92.80806939800708,0.0,-0.0,0.0,-0.0
TD_SUMMER,23,120,6209.999999999999,3780.0,15.0,0.0,-0.0,0.0,10076.600876666998,0.0,1260.0,3780.0,0.0,-0.0,317.0730206517711,0.0,461.74122876089626,2289.5278560152274,44.02938184644668,29.02938184644668,0.0,121.83745124445397,0.0,-0.0,0.0,-0.0
TD_WINTER,0,120,5460.0,8370.0,15.0,1953.5802189491333,-0.0,0.0,9200.374713478563,0.0,2790.0,8370.0,0.0,-0.0,0.0,0.0,461.74122876089626,2903.954932427696,55.845287162071074,40.845287162071074,0.0,162.68273840652506,0.0,-0.0,0.0,1265.7246238571436
TD_WINTER,1,120,5250.0,8235.0,15.0,602.7564292349559,-0.0,0.0,9857.544335869889,0.0,2745.0,8235.0,0.0,-0.0,0.0,438.6541673228515,-0.0,2903.954932427696,55.845287162071074,40.845287162071074,0.0,203.52802556859615,0.0,-0.0,0.0,390.525890501328
TD_WINTER,2,120,5040.0,8100.000000000001,15.0,129.24097416648192,-0.0,0.0,10514.713958261214,0.0,2700.0000000000005,8100.000000000001,0.0,-0.0,0.0,0.0,0.0,2903.954932427696,55.845287162071074,40.845287162071074,0.0,244.37331273066724,0.0,-0.0,0.0,83.73522716246364
TD_WINTER,3,120,4935.0,7965.000000000001,15.0,0.0,-0.0,0.0,10952.827039855432,0.0,2655.0000000000005,7965.000000000001,0.0,-0.0,458.87210742773647,0.0,435.9285020563496,2903.954932427696,55.84528716207108,40.84528716207108,0.0,285.2185998927383,0.0,-0.0,0.0,-0.0
