typical_day_id,hour,weight_days,electric_load_kw,heat_load_kw,hydrogen_load_kg,grid_buy_kw,grid_sell_kw,pv_used_kw,pv_sold_kw,pv_curtail_kw,wind_used_kw,wind_sold_kw,wind_curtail_kw,heat_pump_power_kw,heat_pump_heat_kw,gas_boiler_heat_kw,gas_consumption_m3,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,electrolyzer_power_kw,h2_production_kg,h2_charge_kg,h2_discharge_kg,h2_storage_kg,h2_external_supply_kg,h2_fuel_cell_kg,fuel_cell_power_kw,carbon_emission_kg
TD_SUMMER,11,120,166283.675,59099.399999999994,1078.94,0.0,-0.0,453306.0718094212,0.0,0.0,-0.0,0.0,0.0,19521.50360044923,59099.399999999994,0.0,0.0,67500.89320897195,0.0,133945.3572412227,200000.0,3637.750049514755,2558.8100495147555,0.0,7369.710167168625,0.0,0.0,0.0,0.0
TD_SUMMER,12,120,166283.675,57606.0,1078.94,0.0,35585.602577047655,460295.3222882447,35585.602577047655,0.0,-0.0,0.0,0.0,18546.68383773342,57606.0,0.0,0.0,75464.96345051126,0.0,205637.0725192084,200000.0,3637.750049514755,2558.8100495147555,0.0,9928.213145426414,0.0,-3.979039320256561e-13,0.0,0.0
TD_SUMMER,13,120,166283.675,56990.4,1078.94,0.0,-0.0,407170.4128616044,0.0,0.0,-0.0,0.0,0.0,18159.06194239103,56990.4,0.0,0.0,22727.67591921339,0.0,227228.36464246106,200000.0,3637.750049514755,2558.8100495147555,0.0,12486.609519393443,0.0,-4.547473508864641e-13,0.0,0.0
TD_SUMMER,14,120,166283.675,57184.2,1078.94,87714.33028967463,0.0,274801.324269714,0.0,0.0,-0.0,-0.0,0.0,18280.22504954926,57184.2,0.0,0.0,-0.0,0.0,227228.36464246106,177951.75450983932,3270.2792913454105,2191.3392913454118,0.0,14677.428535342213,0.0,-1.3073986337985843e-12,0.0,60075.54481539815
TD_SUMMER,15,120,166283.675,59202.0,1078.94,175052.4955012154,-0.0,132523.9062393663,0.0,0.0,-0.0,0.0,0.0,19590.337524818002,59202.0,0.0,0.0,0.0,0.0,227228.36464246106,121702.3892157637,2305.066217074095,1226.1262170740938,0.0,15902.943192894,0.0,1.3642420526593924e-12,0.0,119893.45416878241
TD_SUMMER,16,120,166283.675,63089.399999999994,1078.94,175052.49550121542,0.0,13623.95297787878,0.0,0.0,-0.0,-0.0,0.0,22392.773479094198,63089.399999999994,0.0,0.0,0.0,-2.430681044276192e-13,227228.36464246106,0.0,0.0,0.0,1078.9400000000005,14823.340570260962,0.0,4.547473508864641e-13,0.0,119893.45416878244
TD_SUMMER,17,120,166283.675,64172.399999999994,1078.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8768.820501215421,24263.32632686307,39909.073673136925,4241.954732279455,0.0,-0.0,227228.36464246106,0.0,0.0,0.0,1078.94,13743.782931070533,0.0,0.0,0.0,129056.07639050603
TD_SUMMER,18,120,160067.34999999998,64902.0,1078.94,114621.67707150776,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,64902.0,6898.464952838912,0.0,45445.67292849222,179390.81419141663,0.0,0.0,0.0,1078.9400000000005,12664.270273448405,0.0,4.547473508864641e-13,0.0,93405.07092440772
TD_SUMMER,19,120,160067.34999999998,65380.799999999996,1078.94,143025.2226518154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,65380.799999999996,6949.356836285019,0.0,17042.12734818459,161451.73277227496,0.0,0.0,0.0,1078.94,11584.802595520343,0.0,0.0,0.0,112968.585760604
TD_SUMMER,20,120,160067.34999999998,65779.8,923.94,160067.34999999998,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,65779.8,6991.766739156777,0.0,0.0,161451.73277227496,0.0,0.0,0.0,923.9400000000005,10660.379895412196,0.0,0.0,0.0,124732.34417157862
TD_SUMMER,21,120,160067.34999999998,66235.8,923.94,114621.67707150776,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,66235.8,7040.235199581641,0.0,45445.67292849222,113614.18232123053,0.0,0.0,0.0,923.94,9735.995712916552,0.0,0.0,0.0,93711.29465737201
TD_SUMMER,22,120,160067.34999999998,66566.4,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,14985.145501215433,39890.45732423548,26675.942675764512,2835.3988418338627,0.0,0.0,113614.18232123053,0.0,0.0,0.0,923.9400000000005,8811.650046428513,0.0,4.547473508864641e-13,0.0,126017.91566714355
TD_SUMMER,23,120,155405.25,66908.4,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,19647.24550121541,52006.25884171719,14902.141158282808,1583.9557872280086,0.0,0.0,113614.18232123053,0.0,0.0,0.0,923.9399999999987,7887.342894343246,0.0,-1.3642420526593924e-12,0.0,123314.7986691949
TD_WINTER,0,120,131959.38,151200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621443,92860.77109943745,58339.22890056255,6200.904840315826,5626.594985000978,0.0,118959.44755698145,0.0,0.0,0.0,923.9400000000005,6963.074255055981,0.0,4.547473508864641e-13,0.0,133287.40862386458
TD_WINTER,1,120,131959.38,151200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621442,92617.23871608205,58582.76128391795,6226.790015063269,5626.594985000978,0.0,124304.71279273237,0.0,0.0,0.0,923.9399999999996,6038.84412696202,0.0,-4.547473508864641e-13,0.0,133343.32060131908
TD_WINTER,2,120,131959.38,151200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621443,92223.84025066181,58976.159749338185,6268.604528116828,5626.594985000979,0.0,129649.97802848331,0.0,0.0,0.0,923.9400000000005,5114.652508456729,0.0,4.547473508864641e-13,0.0,133433.63994951476
TD_WINTER,3,120,131959.38,151200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621443,91736.77548395103,59463.22451604897,6320.374877611713,5626.594985000979,0.0,134995.24326423425,1.797426296682359e-12,3.3285672160784424e-14,0.0,923.9400000000005,4190.499397935543,0.0,4.880330230472485e-13,0.0,133545.4639044237
TD_WINTER,4,120,131959.38,151200.0,923.94,169425.90051621443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621443,90687.71290949703,60512.28709050297,6431.880245754542,0.0,0.0,134995.24326423425,0.0,0.0,0.0,923.94,3266.384793793962,0.0,0.0,0.0,129932.66059438506
TD_WINTER,5,120,141891.75,151200.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,33160.74550121542,79055.21727489754,72144.78272510246,7668.303829763297,0.0,0.0,134995.24326423425,0.0,0.0,0.0,923.94,2342.3086944275537,0.0,0.0,0.0,136456.99044107113
TD_WINTER,6,120,141891.75,151200.0,923.94,98050.72212389312,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8939.489774404385,21200.0,130000.0,13817.762840421845,0.0,52780.51765051126,79436.80363211714,0.0,0.0,0.0,923.94,1418.2710982319522,0.0,0.0,0.0,97001.30731796558
TD_WINTER,7,120,141891.75,151200.0,1078.94,21782.274679816852,-0.0,53412.08837918386,0.0,0.0,-0.0,0.0,0.0,8767.576509511993,21200.0,130000.0,13817.762840421845,0.0,75464.96345051129,0.0,0.0,0.0,0.0,1078.94,339.27200360285906,0.0,0.0,0.0,44765.04766351775
TD_WINTER,8,120,151824.225,151200.0,1078.94,3567.2490509219097,0.0,230059.02414918027,0.0,0.0,0.0,0.0,0.0,44078.259430840495,113699.87020185306,37500.12979814694,3985.9069233525443,-0.0,-0.0,0.0,37723.78876926184,739.6821327306243,0.0,339.2578672693756,0.0,0.0,-1.7053025658242404e-13,0.0,11052.767829417913
TD_WINTER,9,120,151824.225,148132.80000000002,1078.94,0.0,0.0,372336.442179528,0.0,0.0,0.0,0.0,0.0,44078.2594308405,118746.8309066843,29385.96909331571,3123.448859749251,5929.450760788866,0.0,5632.9782227494225,170504.50698789844,3146.1584993130623,2067.2184993130622,0.0,2067.2184993130622,0.0,0.0,0.0,6746.649537058387
TD_WINTER,10,120,151824.225,140925.15000000002,1078.94,0.0,0.0,461821.0424205954,0.0,0.0,0.0,0.0,0.0,44078.2594308405,125243.96634679021,15681.18365320981,1666.7605905934845,65918.55798975495,0.0,68255.60831301662,200000.0,3637.750049514755,2558.8100495147555,0.0,4625.94241472368,0.0,-3.979039320256561e-13,0.0,3600.2028756819273
TD_WINTER,11,120,151824.225,132973.65000000002,1078.94,0.0,-0.0,453306.0718094212,0.0,0.0,-0.0,0.0,0.0,43923.383101010775,132973.65000000002,0.0,0.0,57558.46370841039,0.0,122936.1488360065,200000.0,3637.750049514755,2558.8100495147555,0.0,7184.559716637821,0.0,-4.547473508864641e-13,0.0,0.0
TD_WINTER,12,120,151824.225,129613.50000000001,1078.94,0.0,26861.697779880837,469019.2270854115,26861.697779880837,0.0,-0.0,0.0,0.0,41730.0386349002,129613.50000000001,0.0,0.0,75464.96345051126,0.0,194627.8641139922,200000.0,3637.750049514755,2558.8100495147546,0.0,9743.070409497715,0.0,3.979039320256561e-13,0.0,0.0
TD_WINTER,13,120,151824.225,128228.40000000001,1078.94,19828.01785453054,-0.0,407170.4128616044,0.0,0.0,-0.0,0.0,0.0,40857.88937037982,128228.40000000001,0.0,0.0,34316.316345755135,0.0,227228.36464246106,200000.0,3637.750049514755,2558.8100495147555,0.0,12301.474497745408,0.0,-3.979039320256561e-13,0.0,13580.209428567965
TD_WINTER,14,120,151824.225,128664.45000000001,1078.94,118153.40709177183,-0.0,274801.324269714,0.0,0.0,-0.0,0.0,0.0,41130.506361485845,128664.45000000001,0.0,0.0,0.0,0.0,227228.36464246106,200000.0,3637.750049514755,2558.8100495147555,0.0,14859.771985822757,0.0,0.0,0.0,80923.26851715453
TD_WINTER,15,120,151824.225,133204.5,1078.94,175052.4955012154,-0.0,132523.9062393663,0.0,0.0,-0.0,0.0,0.0,44078.2594308405,133204.5,0.0,0.0,0.0,0.0,227228.36464246106,111673.91730974118,2122.730364237322,1043.7903642373185,0.0,15902.943192894,0.0,3.694822225952521e-12,0.0,119893.45416878241
TD_WINTER,16,120,151824.225,141951.15000000002,1078.94,175052.4955012154,0.0,13623.95297787878,0.0,0.0,-0.0,-0.0,0.0,36852.22347909419,103827.45442999997,38123.695570000054,4052.186030666936,0.0,-0.0,227228.36464246106,0.0,0.0,0.0,1078.9400000000005,14823.340570260962,0.0,4.547473508864641e-13,0.0,128646.17599502299
TD_WINTER,17,120,151824.225,144387.90000000002,1078.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,23228.270501215404,64272.62447686302,80115.27552313701,8515.49136210585,0.0,0.0,227228.36464246106,0.0,0.0,0.0,1078.94,13743.782931070533,0.0,0.0,0.0,138286.91551093105
TD_WINTER,18,120,146148.45,146029.5,1078.94,134967.2001655266,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,5860.877513711152,16029.5,130000.0,13817.762840421845,0.0,17042.12734818459,209289.2832233194,0.0,0.0,0.0,1078.9400000000005,12664.270273448405,0.0,4.547473508864641e-13,0.0,122285.40312868034
TD_WINTER,19,120,146148.45,147106.80000000002,1078.94,152451.61875460576,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,6303.168754605755,17106.800000000017,130000.0,13817.762840421845,0.0,-0.0,209289.2832233194,0.0,0.0,0.0,1078.94,11584.802595520343,0.0,0.0,0.0,134260.4814203407
TD_WINTER,20,120,146148.45,148004.55000000002,923.94,107379.7843031043,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,6677.007231596521,18004.550000000017,130000.0,13817.762840421845,0.0,45445.67292849222,161451.73277227496,0.0,0.0,0.0,923.9400000000005,10660.379895412196,0.0,4.547473508864641e-13,0.0,103390.78200450732
TD_WINTER,21,120,146148.45,149030.55000000002,923.94,107813.0143216479,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7110.237250140115,19030.550000000017,130000.0,13817.762840421845,0.0,45445.67292849222,113614.18232123053,0.0,0.0,0.0,923.94,9735.995712916552,0.0,0.0,0.0,103687.50124420783
TD_WINTER,22,120,146148.45,149774.40000000002,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,28904.0455012154,76942.5691242354,72831.83087576463,7741.3305098079145,0.0,0.0,113614.18232123053,0.0,0.0,0.0,923.9400000000005,8811.650046428513,0.0,4.547473508864641e-13,0.0,136614.7280699675
TD_WINTER,23,120,141891.75,150543.90000000002,923.94,175052.4955012154,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,33160.74550121541,87776.49334171719,62767.40665828284,6671.577994711287,0.0,0.0,113614.18232123053,0.0,0.0,0.0,923.94,7887.342894343246,0.0,0.0,0.0,134304.0626373588
TD_TRANSITION,0,125,125675.6,100800.0,923.94,175052.4955012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37466.52051621443,92860.77109943745,7939.22890056255,843.8644775676645,11910.374985000977,0.0,124929.03855698145,0.0,0.0,0.0,923.9400000000005,6963.074255055981,0.0,4.547473508864641e-13,0.0,121716.20144032856
